timestamp,temperature,humidity,pm2_5,co2
2025-02-10 20:42:50,24.83,45.46,4.6,400.0
2025-02-10 20:43:50,24.83,45.46,4.0,400.0
2025-02-10 20:44:50,24.83,45.45,4.1,400.0
2025-02-10 20:45:50,24.83,45.45,4.2,400.0
2025-02-10 20:46:50,24.83,45.46,4.0,400.0
2025-02-10 20:47:50,24.83,45.49,4.0,400.0
2025-02-10 20:48:50,24.83,45.45,4.2,400.0
2025-02-10 20:49:50,24.83,45.45,4.5,400.0
2025-02-10 20:50:50,24.83,45.45,4.1,400.0
2025-02-10 20:51:50,24.835,45.46,5.2,400.0
2025-02-10 20:52:50,24.83,45.46,4.2,400.0
2025-02-10 20:53:50,24.83,45.47,3.9,400.0
2025-02-10 20:54:50,24.83,45.45,4.0,400.0
2025-02-10 20:55:50,24.83,45.44,4.1,400.0
2025-02-10 20:56:50,24.825,45.43,4.8,400.0
2025-02-10 20:58:06,24.825,45.42,4.1,400.0
2025-02-10 20:59:06,24.825,45.44,4.7,400.0
2025-02-10 21:00:06,24.82,45.47,4.3,400.0
2025-02-10 21:01:06,24.82,45.46,4.4,400.0
2025-02-10 21:02:06,24.82,45.45,4.9,400.0
2025-02-10 21:03:06,24.815,45.5,3.9,400.0
2025-02-10 21:04:06,24.815,45.49,4.1,400.0
2025-02-10 21:05:06,24.815,45.5,4.1,400.0
2025-02-10 21:06:06,24.815,45.49,4.9,400.0
2025-02-10 21:07:06,24.815,45.47,4.8,400.0
2025-02-10 21:08:06,24.815,45.47,4.0,400.0
2025-02-10 21:09:06,24.815,45.46,4.5,400.0
2025-02-10 21:10:06,24.815,45.47,4.5,400.0
2025-02-10 21:11:06,24.815,45.46,4.0,400.0
2025-02-10 21:12:06,24.815,45.49,4.4,400.0
2025-02-10 21:13:06,24.815,45.49,4.5,400.0
2025-02-10 21:14:06,24.815,45.5,4.6,400.0
2025-02-10 21:15:06,24.815,45.48,4.2,400.0
2025-02-10 21:16:06,24.815,45.48,3.9,400.0
2025-02-10 21:17:06,24.815,45.49,4.4,400.0
2025-02-10 21:18:06,24.815,45.48,4.3,400.0
2025-02-10 21:19:06,24.81,45.48,4.5,400.0
2025-02-10 21:20:07,24.81,45.51,4.0,400.0
2025-02-10 21:21:07,24.81,45.49,4.2,400.0
2025-02-10 21:22:07,24.81,45.48,4.6,400.0
2025-02-10 21:23:07,24.815,45.48,3.9,400.0
2025-02-10 21:24:07,24.815,45.47,4.8,400.0
2025-02-10 21:25:07,24.815,45.49,4.6,400.0
2025-02-10 21:26:07,24.815,45.46,4.6,400.0
2025-02-10 21:27:07,24.815,45.48,4.3,400.0
2025-02-10 21:28:07,24.81,45.47,4.1,400.0
2025-02-10 21:29:07,24.81,45.5,4.2,400.0
2025-02-10 21:30:07,24.81,45.5,4.6,400.0
2025-02-10 21:31:07,24.815,45.48,4.3,400.0
2025-02-10 21:32:07,24.815,45.48,4.5,400.0
2025-02-10 21:33:07,24.815,45.48,4.0,400.0
2025-02-10 21:34:07,24.815,45.51,3.6,400.0
2025-02-10 21:35:02,24.815,45.48,4.7,400.0
2025-02-10 21:36:02,24.815,45.47,4.5,400.0
2025-02-10 21:37:02,24.81,45.47,4.1,400.0
2025-02-10 21:38:02,24.81,45.5,5.0,400.0
2025-02-10 21:39:02,24.815,45.49,4.0,400.0
2025-02-10 21:40:02,24.815,45.48,4.1,400.0
2025-02-10 21:41:02,24.815,45.48,3.6,400.0
2025-02-10 21:42:02,24.815,45.47,4.0,400.0
2025-02-10 21:43:02,24.815,45.47,4.4,400.0
2025-02-10 21:44:02,24.815,45.47,4.6,400.0
2025-02-10 21:45:02,24.82,45.47,4.3,400.0
2025-02-10 21:46:02,24.815,45.44,4.5,400.0
2025-02-10 21:47:02,24.815,45.48,4.4,400.0
2025-02-10 21:48:02,24.815,45.46,4.3,400.0
2025-02-10 21:49:02,24.815,45.46,4.4,400.0
2025-02-10 21:50:21,24.815,45.49,4.0,400.0
2025-02-10 21:51:21,24.815,45.48,4.1,400.0
2025-02-10 21:52:21,24.815,45.46,4.4,400.0
2025-02-10 21:53:21,24.815,45.49,4.2,400.0
2025-02-10 21:54:21,24.815,45.49,4.5,400.0
2025-02-10 21:55:21,24.815,45.51,4.1,400.0
2025-02-10 21:56:21,24.815,45.51,4.0,400.0
2025-02-10 21:57:21,24.81,45.53,4.8,400.0
2025-02-10 21:58:21,24.81,45.54,4.0,400.0
2025-02-10 21:59:21,24.81,45.54,4.2,400.0
2025-02-10 22:00:21,24.81,45.51,4.5,400.0
2025-02-10 22:01:20,24.81,45.51,4.0,400.0
2025-02-10 22:02:20,24.805,45.53,4.3,400.0
2025-02-10 22:03:20,24.805,45.47,3.8,400.0
